epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.077,1.43051,3.13666,1.59293,0.67342,0.40798,0.42057,0.26058,1.52157,2.38569,1.63801,0.00332643,0.00332643,0.00332643
2,424.911,1.35615,2.03253,1.52692,0.57555,0.43428,0.43699,0.26232,1.55878,2.27712,1.72116,0.00659383,0.00659383,0.00659383
3,600.124,1.39532,1.92399,1.55989,0.53833,0.41163,0.43413,0.23822,1.79159,3.07513,1.98044,0.00979524,0.00979524,0.00979524
4,766.621,1.42902,1.82209,1.59341,0.63318,0.41496,0.48475,0.28297,1.62756,2.32008,1.80714,0.009703,0.009703,0.009703
5,933.498,1.38654,1.64464,1.55221,0.52963,0.50636,0.50956,0.31251,1.59817,2.03402,1.73923,0.009604,0.009604,0.009604
6,1106.06,1.34091,1.51402,1.51399,0.57096,0.53805,0.56695,0.3602,1.47776,1.78846,1.64207,0.009505,0.009505,0.009505
7,1279.99,1.312,1.43473,1.49466,0.67599,0.56474,0.56466,0.35506,1.47098,1.79476,1.60947,0.009406,0.009406,0.009406
8,1452.23,1.29401,1.39311,1.48263,0.73117,0.57074,0.60003,0.37329,1.46056,1.62827,1.58067,0.009307,0.009307,0.009307
9,1623.75,1.27986,1.35569,1.47214,0.72374,0.59256,0.60689,0.37881,1.44087,1.57552,1.60965,0.009208,0.009208,0.009208
10,1810.23,1.25427,1.29167,1.45348,0.71858,0.56645,0.58232,0.37201,1.41381,1.70949,1.57635,0.009109,0.009109,0.009109
11,1976.98,1.23752,1.27145,1.44201,0.74088,0.56214,0.62226,0.39563,1.35207,1.55712,1.50296,0.00901,0.00901,0.00901
12,2144.02,1.23255,1.25081,1.43502,0.75805,0.60298,0.64037,0.41438,1.34514,1.45199,1.50708,0.008911,0.008911,0.008911
13,2310.88,1.22647,1.22877,1.42778,0.76286,0.62025,0.65607,0.42976,1.33087,1.39399,1.50811,0.008812,0.008812,0.008812
14,2478.16,1.21834,1.19606,1.42056,0.75857,0.64059,0.64815,0.42688,1.31611,1.41147,1.50037,0.008713,0.008713,0.008713
15,2645.27,1.20131,1.17883,1.41115,0.69766,0.64036,0.67746,0.44155,1.3128,1.31824,1.46676,0.008614,0.008614,0.008614
16,2811.54,1.19283,1.16857,1.40673,0.77595,0.65827,0.69651,0.45649,1.26428,1.27663,1.42411,0.008515,0.008515,0.008515
17,2977.45,1.18718,1.148,1.39789,0.72072,0.67162,0.69237,0.44901,1.29893,1.26957,1.46166,0.008416,0.008416,0.008416
18,3143.3,1.17731,1.12744,1.3945,0.73281,0.66889,0.70577,0.46484,1.26106,1.22965,1.4224,0.008317,0.008317,0.008317
19,3308.97,1.16871,1.10964,1.38801,0.78138,0.65328,0.70589,0.46272,1.26907,1.22672,1.43116,0.008218,0.008218,0.008218
20,3474.94,1.16911,1.10818,1.38304,0.77535,0.67105,0.70252,0.46632,1.2503,1.20724,1.40453,0.008119,0.008119,0.008119
21,3641.29,1.16437,1.09414,1.37705,0.80435,0.67199,0.71854,0.47582,1.25159,1.17312,1.40616,0.00802,0.00802,0.00802
22,3807.16,1.15599,1.07441,1.37599,0.72549,0.71149,0.72085,0.47702,1.24,1.16899,1.40196,0.007921,0.007921,0.007921
23,3973.08,1.14873,1.07736,1.37157,0.74115,0.6822,0.73069,0.48235,1.23666,1.17904,1.38611,0.007822,0.007822,0.007822
24,4138.96,1.13859,1.06078,1.36444,0.75402,0.69421,0.72745,0.48884,1.21442,1.14275,1.38529,0.007723,0.007723,0.007723
25,4304.94,1.13868,1.05449,1.3641,0.75871,0.69765,0.74176,0.49549,1.20747,1.11267,1.37302,0.007624,0.007624,0.007624
26,4471,1.12946,1.0379,1.35155,0.71224,0.6974,0.72737,0.489,1.2033,1.14453,1.36346,0.007525,0.007525,0.007525
27,4636.49,1.13064,1.03477,1.35609,0.73012,0.70394,0.73065,0.49088,1.22217,1.15177,1.37979,0.007426,0.007426,0.007426
28,4802.48,1.12612,1.02064,1.35199,0.76948,0.69681,0.75425,0.50565,1.19545,1.08087,1.35697,0.007327,0.007327,0.007327
29,4968.58,1.11715,1.02346,1.34917,0.7137,0.72038,0.74292,0.50004,1.19355,1.1061,1.36155,0.007228,0.007228,0.007228
30,5134.44,1.11473,1.00745,1.34185,0.77751,0.73272,0.76866,0.51427,1.18142,1.0838,1.34401,0.007129,0.007129,0.007129
31,5300.49,1.11323,1.01026,1.34452,0.74245,0.74383,0.7616,0.51664,1.16964,1.06476,1.33765,0.00703,0.00703,0.00703
32,5466.19,1.10655,1.00096,1.34124,0.75766,0.71633,0.7508,0.50567,1.18144,1.07467,1.34871,0.006931,0.006931,0.006931
